        887,   49,   37
        888,   40,   46
        889,   29,   53
        890,   17,   58
        891,    4,   60
        892,   -9,   60
        893,  -22,   57
        894,  -34,   51
        895,  -45,   42
        896,  -54,   31
        897,  -60,   18
        898,  -63,    4
        899,  -63,  -10
        900,  -59,  -23
        901,  -53,  -35
        902,  -45,  -45
        903,  -35,  -54
        904,  -23,  -60
        905,  -10,  -63
        906,    3,  -64
        907,   16,  -62
        908,   28,  -57
        909,   39,  -50
        910,   48,  -41
        911,   55,  -30
        912,   60,  -18
        913,   62,   -5
        914,   62,    8
        915,   59,   21
        916,   53,   33
        917,   45,   43
        918,   35,   51
        919,   23,   57
        920,   10,   60
        921,   -3,   61
        922,  -16,   59
        923,  -29,   54
        924,  -41,   46
        925,  -51,   36
        926,  -58,   24
        927,  -62,   11
        928,  -63,   -3
        929,  -61,  -17
        930,  -56,  -30
        931,  -48,  -41
        932,  -38,  -50
        933,  -27,  -57
        934,  -15,  -62
        935,   -2,  -64
        936,   11,  -63
        937,   23,  -59
        938,   34,  -53
        939,   44,  -45
        940,   52,  -35
        941,   58,  -24
        942,   61,  -12
        943,   62,    1
        944,   60,   14
        945,   56,   26
        946,   49,   37
        947,   40,   46
        948,   29,   53
        949,   17,   58
        950,    4,   60
        951,   -9,   60
        952,  -22,   57
        953,  -34,   51
        954,  -45,   42
        955,  -54,   31
        956,  -60,   18
        957,  -63,    4
        958,  -63,  -10
        959,  -59,  -23
        960,  -53,  -35
        961,  -45,  -45
        962,  -35,  -54
        963,  -23,  -60
        964,  -10,  -63
        965,    3,  -64
        966,   16,  -62
        967,   28,  -57
        968,   39,  -50
        969,   48,  -41
        970,   55,  -30
        971,   60,  -18
        972,   62,   -5
        973,   62,    8
        974,   59,   21
        975,   53,   33
        976,   45,   43
        977,   35,   51
        978,   23,   57
        979,   10,   60
        980,   -3,   61
        981,  -16,   59
        982,  -29,   54
        983,  -41,   46
        984,  -51,   36
        985,  -58,   24
        986,  -62,   11
        987,  -63,   -3
        988,  -61,  -17
